date,step,nav,reward,portfolio_return,portfolio_return_net,turnover,cost,w_VEON,w_PRGO,w_M,w_cash
2023-02-16,1,0.9608732238411903,-0.03912677615880966,-0.03912677615880966,-0.03912677615880966,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-17,2,0.9595295725664734,-0.0013983647804707289,-0.0013983647804707289,-0.0013983647804707289,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-21,3,0.9495998059571247,-0.010348577983677387,-0.010348577983677387,-0.010348577983677387,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-22,4,0.9542136571337682,0.004858732223510742,0.004858732223510742,0.004858732223510742,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-23,5,0.9393551998749529,-0.015571415424346924,-0.015571415424346924,-0.015571415424346924,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-24,6,0.9296613452056427,-0.010319690220057964,-0.010319690220057964,-0.010319690220057964,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-27,7,0.9324257089616068,0.0029735169373452663,0.0029735169373452663,0.0029735169373452663,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-02-28,8,0.9491734387957435,0.01796146295964718,0.01796146295964718,0.01796146295964718,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-01,9,0.9596367485556254,0.01102360151708126,0.01102360151708126,0.01102360151708126,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-02,10,0.9894511318435926,0.029218306015530274,0.031068405136466026,0.031068405136466026,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-03,11,0.9881868461376359,-0.0030418006247703447,-0.0012777646770700812,-0.0012777646770700812,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-06,12,0.9632854302936683,-0.027016422537372044,-0.025199096649885178,-0.025199096649885178,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-07,13,0.9661741010530782,0.0012455670084881784,0.0029987692832946777,0.0029987692832946777,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-08,14,0.9610131763210973,-0.007032634082639876,-0.005341609474271536,-0.005341609474271536,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-09,15,0.9292277074266742,-0.03487586897819051,-0.03307495638728142,-0.03307495638728142,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-10,16,0.8963464713281204,-0.03728071655542668,-0.035385552793741226,-0.035385552793741226,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-13,17,0.8686710183893921,-0.03280086222392008,-0.03087584301829338,-0.03087584301829338,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-14,18,0.8675447511409377,-0.0031737286381634607,-0.0012965406058356166,-0.0012965406058356166,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
2023-03-15,19,0.86326067144475,-0.006766315643122382,-0.004938165657222271,-0.004938165657222271,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0
