date,step,nav,reward,portfolio_return,portfolio_return_net,turnover,cost,w_VEON,w_PRGO,w_cash
2020-02-18,1,0.9969049958484247,-0.0030950041515752673,-0.0016950041754171252,-0.0030950041515752673,1.399999976158142,0.001399999976158142,0.15000000596046448,0.15000000596046448,0.699999988079071
2020-02-19,2,0.9994400208419464,0.0022610002940986304,0.0025428952649235725,0.0025428952649235725,0.0,0.0,0.15000000596046448,0.15000000596046448,0.699999988079071
2020-02-20,3,0.99230900420608,-0.0075319020378865715,-0.005735012236982584,-0.007135012093931437,1.3999998569488525,0.0013999998569488527,0.6499999761581421,0.3499999940395355,0.0
2020-02-21,4,0.9937655805163952,0.001082383460856295,0.0014678656589239836,0.0014678656589239836,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-02-24,5,0.9790405242548181,-0.015450136967337663,-0.01481743436306715,-0.01481743436306715,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-02-25,6,0.9662981721793809,-0.013679477078103953,-0.013015142641961575,-0.013015142641961575,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-02-26,7,0.9986326135812652,0.03196088024868718,0.03346217796206474,0.03346217796206474,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-02-27,8,0.9281053685671552,-0.07334676830990552,-0.07062381505966187,-0.07062381505966187,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-02-28,9,0.8785382055694544,-0.05633033506637814,-0.05340682715177536,-0.05340682715177536,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-03-02,10,0.8903284425216369,0.010528689739514954,0.013420289382338524,0.013420289382338524,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-03-03,11,0.86919556256247,-0.026516834788070428,-0.023136049509048462,-0.023736049473285677,0.5999999642372131,0.0005999999642372131,0.3499999940395355,0.6499999761581421,0.0
2020-03-04,12,0.9299042685984036,0.06634631046368829,0.07044470310211182,0.06984470313787461,0.5999999642372131,0.0005999999642372131,0.6499999761581421,0.3499999940395355,0.0
2020-03-05,13,0.924332971164596,-0.009352440040821483,-0.005991259124130011,-0.005991259124130011,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-03-06,14,0.8890931201533927,-0.04147095735211294,-0.038124628365039825,-0.038124628365039825,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-03-09,15,0.753824049414952,-0.15698167275752592,-0.1521427482366562,-0.1521427482366562,0.0,0.0,0.6499999761581421,0.3499999940395355,0.0
2020-03-10,16,0.7620556289280593,0.00618452820690116,0.012319762259721756,0.010919762402772903,1.3999998569488525,0.0013999998569488527,0.15000000596046448,0.15000000596046448,0.699999988079071
2020-03-11,17,0.7561497646140322,-0.012347525318879622,-0.007749912329018116,-0.007749912329018116,0.0,0.0,0.15000000596046448,0.15000000596046448,0.699999988079071
2020-03-12,18,0.6682513999642723,-0.12127676581548158,-0.11484465003013611,-0.11624464988708497,1.3999998569488525,0.0013999998569488527,0.3499999940395355,0.6499999761581421,0.0
2020-03-13,19,0.7116664964014134,0.05970917214356113,0.06556820869445801,0.0649682087302208,0.5999999642372131,0.0005999999642372131,0.6499999761581421,0.3499999940395355,0.0
