date,price,prev_pos,action,new_pos,turnover,reward,portfolio_value,trade
2024-02-14,487.97979736328125,0.0,-1.0,-1.0,1.0,-0.001,0.999,SELL
2024-02-15,491.3467102050781,-1.0,-1.0,-1.0,0.0,-0.006899697240442038,0.9921072024567984,HOLD
2024-02-16,488.89990234375,-1.0,-1.0,-1.0,0.0,0.004979799035936594,0.9970476969471385,HOLD
2024-02-20,486.20831298828125,-1.0,-1.0,-1.0,0.0,0.005505399778485298,1.0025368431170505,HOLD
2024-02-21,486.648681640625,-1.0,-1.0,-1.0,0.0,-0.0009057201095856726,1.0016288253376389,HOLD
2024-02-22,496.7201232910156,-1.0,-1.0,-1.0,0.0,-0.020695507526397705,0.9808996084442069,HOLD
2024-02-23,497.0627136230469,-1.0,-1.0,-1.0,0.0,-0.0006897049606777728,0.980223077118336,HOLD
2024-02-26,495.2422180175781,-1.0,-1.0,-1.0,0.0,0.003662506816908717,0.9838131508203731,HOLD
2024-02-27,496.1622619628906,-1.0,-1.0,-1.0,0.0,-0.001857765601016581,0.9819854565909513,HOLD
2024-02-28,495.5064697265625,-1.0,-1.0,-1.0,0.0,0.0013217293890193105,0.9832833756285171,HOLD
2024-02-29,497.2878112792969,-1.0,-1.0,-1.0,0.0,-0.0035949915181845427,0.9797484802331607,HOLD
2024-03-01,501.9565124511719,-1.0,-1.0,-1.0,0.0,-0.009388328529894352,0.9705502796240671,HOLD
2024-03-04,501.418212890625,-1.0,-1.0,-1.0,0.0,0.001072402810677886,0.9715911004718402,HOLD
2024-03-05,496.406982421875,-1.0,-1.0,-1.0,0.0,0.009994113817811012,0.981301292514328,HOLD
2024-03-06,498.92236328125,-1.0,-1.0,-1.0,0.0,-0.005067174788564444,0.9763288673449136,HOLD
2024-03-07,503.8748779296875,-1.0,-1.0,-1.0,0.0,-0.00992642343044281,0.9666374136002834,HOLD
2024-03-08,500.8505554199219,-1.0,-1.0,-1.0,0.0,0.00600212998688221,0.9724392970068959,HOLD
2024-03-11,500.41986083984375,-1.0,-1.0,-1.0,0.0,0.0008599263383075595,0.9732755231707975,HOLD
2024-03-12,505.8030700683594,-1.0,-1.0,-1.0,0.0,-0.010757384821772575,0.9628056238304372,HOLD
2024-03-13,505.0102233886719,-1.0,-1.0,-1.0,0.0,0.0015675007598474622,0.9643148223773769,HOLD
2024-03-14,504.0119323730469,-1.0,-1.0,-1.0,0.0,0.001976773841306567,0.9662210546930367,HOLD
2024-03-15,500.5510559082031,-1.0,-1.0,-1.0,0.0,0.00686665577813983,0.9728557620812049,HOLD
2024-03-18,503.5259094238281,-1.0,-1.0,-1.0,0.0,-0.0059431567788124084,0.9670739277639854,HOLD
2024-03-19,506.32403564453125,-1.0,-1.0,-1.0,0.0,-0.005557064898312092,0.9616998351859354,HOLD
2024-03-20,511.0072021484375,-1.0,-1.0,-1.0,0.0,-0.00924934633076191,0.952804740344064,HOLD
2024-03-21,512.6958618164062,-1.0,-1.0,-1.0,0.0,-0.003304571146145463,0.9496561292912125,HOLD
2024-03-22,511.72393798828125,-1.0,-1.0,-1.0,0.0,0.001895712222903967,0.9514564040230655,HOLD
2024-03-25,510.31024169921875,-1.0,-1.0,-1.0,0.0,0.0027626152150332928,0.9540849119612606,HOLD
2024-03-26,509.36761474609375,-1.0,-1.0,-1.0,0.0,0.001847164472565055,0.9558472637144457,HOLD
2024-03-27,513.6482543945312,-1.0,-1.0,-1.0,0.0,-0.008403831161558628,0.9478144846939517,HOLD
